Trial,N_sys,Routes,d1,Cost_ON,Cost_OFF,CostMatch,Nodes_ON,Nodes_OFF,Leaves_ON,Leaves_OFF,Time_ON,Time_OFF,Timeout_ON,Timeout_OFF
1,4,[12 9 8 2],[0.47 0.17 2.60 1.80 ],0,0,YES,11,11,1,1,0.0648134,0.0119331,0,0
2,5,[1 12 10 3 3],[0.55 0.91 1.57 1.30 0.87 ],1.41095467017183,1.41095467017183,YES,261,3660,49,833,0.4819567,13.7121568,0,0
3,5,[2 4 5 6 10],[0.60 1.54 1.78 0.14 1.82 ],3.46691474317147,3.46691474317147,YES,859,5232,122,5,1.2405559,30.0098406,0,1
4,3,[1 12 12],[2.43 0.91 0.29 ],0.164573197896487,0.164573197896487,YES,15,15,2,2,0.0133887,0.0029539,0,0
5,5,[6 2 6 1 11],[0.78 1.99 0.94 1.56 1.64 ],1.69011164269925,1.69011164269925,YES,91,5031,14,17,0.0591609,30.0037876,0,1
6,3,[12 10 12],[2.68 1.79 2.77 ],0.704257509611047,0.704257509611047,YES,13,17,2,4,0.0138841,0.0140916,0,0
7,3,[3 1 4],[1.17 0.81 2.49 ],0.43341338965069,0.43341338965069,YES,20,20,3,3,0.0165043,0.0120279,0,0
8,4,[4 7 2 10],[0.22 2.96 2.32 0.60 ],0.461413326573378,0.461413326573378,YES,35,44,4,7,0.0462975,0.0400682,0,0
9,3,[10 9 9],[2.31 0.22 1.08 ],0,0,YES,9,9,1,1,0.0051873,0.0033062,0,0
10,3,[11 8 4],[0.19 0.93 0.98 ],0.38660067227185,0.38660067227185,YES,13,13,2,2,0.0081582,0.0065137,0,0
11,5,[8 11 6 2 9],[2.28 1.68 2.31 1.48 1.57 ],1.23972675492223,1.23972675492223,YES,38,1183,4,258,0.0365647,4.8192597,0,0
12,4,[1 2 1 8],[0.94 1.53 2.72 0.75 ],0.208520717980472,0.208520717980472,YES,37,135,4,21,0.026764,0.1194914,0,0
13,4,[10 3 1 4],[0.48 2.79 2.42 1.90 ],1.57431217790573,1.7302143776224,NO,46,248,7,50,0.0637398,0.4443742,0,0
14,6,[10 3 11 7 10 11],[0.95 0.33 0.68 1.28 2.45 2.58 ],2.5661126055689,NaN,N/A,1177,3061,162,0,7.1040015,30.0176851,0,1
15,3,[7 6 3],[0.36 1.01 2.83 ],0,0,YES,9,9,1,1,0.005929,0.0060304,0,0
16,4,[7 9 5 12],[2.89 0.76 1.49 0.90 ],0.604403632850826,0.604403632850826,YES,16,16,2,2,0.0144313,0.0101424,0,0
17,4,[1 8 7 1],[0.84 2.72 0.72 0.43 ],1.95162194319753,NaN,N/A,429,2710,41,0,1.1743866,30.0541099,0,1
18,4,[12 3 9 10],[0.71 2.18 1.10 1.90 ],0,0,YES,11,11,1,1,0.009073,0.0056872,0,0
19,5,[7 2 11 4 3],[0.12 1.77 2.03 0.05 1.54 ],3.25193651173255,NaN,N/A,2135,4209,210,0,14.9977027,30.001194,0,1
20,3,[8 3 9],[1.16 2.81 0.41 ],0.0377549569338136,0.0377549569338136,YES,13,13,2,2,0.0116915,0.0040271,0,0
