Trial,N_sys,Routes,d1,Cost_ON,Cost_OFF,CostMatch,Nodes_ON,Nodes_OFF,Leaves_ON,Leaves_OFF,Time_ON,Time_OFF,Timeout_ON,Timeout_OFF
1,7,[2 10 10 8 8 11 10],[0.54 0.45 1.31 1.16 1.73 0.44 2.06 ],NaN,NaN,N/A,5805,7497,0,0,30.0109593,30.0132189,1,1
2,8,[7 8 9 9 3 2 3 1],[1.08 0.44 1.63 2.57 0.60 0.40 0.64 2.92 ],NaN,NaN,N/A,4726,8321,0,0,30.0078068,30.0017877,1,1
3,10,[7 6 3 4 8 5 9 7 12 2],[2.69 0.53 1.78 0.13 1.96 1.10 2.39 0.03 1.44 0.29 ],NaN,NaN,N/A,6929,7982,0,0,30.0200601,30.0192405,1,1
4,7,[10 8 12 9 12 7 7],[0.35 1.00 0.82 2.61 0.26 1.44 2.51 ],NaN,NaN,N/A,4853,5906,0,0,30.0162266,30.0171207,1,1
5,9,[1 8 5 9 2 5 1 5 2],[0.67 2.38 2.15 1.45 2.94 2.28 0.27 1.61 2.03 ],NaN,NaN,N/A,4334,6528,0,0,30.0197695,30.0021028,1,1
6,9,[8 11 10 7 11 5 1 2 12],[0.59 2.66 1.94 0.08 1.91 2.63 0.50 0.70 0.78 ],NaN,NaN,N/A,5913,6503,0,0,30.015024,30.0095771,1,1
7,8,[10 2 12 2 11 1 2 4],[2.71 2.76 0.06 2.29 0.95 1.26 1.70 2.10 ],NaN,NaN,N/A,4747,6002,0,0,30.0092081,30.0075735,1,1
8,7,[1 9 12 4 12 8 2],[0.26 1.89 1.51 1.57 1.89 0.68 0.79 ],4.44271512590102,NaN,N/A,2224,5909,304,0,7.7744597,30.0080465,0,1
9,9,[5 9 3 4 11 6 1 11 6],[1.57 1.96 1.11 2.96 0.83 2.04 1.64 1.58 0.02 ],NaN,NaN,N/A,4068,5423,0,0,30.0023882,30.0373364,1,1
10,10,[3 9 2 6 4 3 5 10 2 8],[0.67 1.38 1.86 0.48 2.79 1.95 1.69 1.61 2.22 2.83 ],NaN,NaN,N/A,4089,7542,0,0,30.0103654,30.0494833,1,1
11,8,[1 3 6 9 7 3 3 12],[1.01 2.04 2.20 1.16 1.59 0.34 1.36 0.15 ],NaN,NaN,N/A,4964,6011,0,0,30.0036587,30.016821,1,1
12,8,[11 6 1 12 12 5 4 6],[0.60 2.21 0.53 0.46 1.06 1.20 2.80 1.63 ],NaN,NaN,N/A,4892,7778,0,0,30.0037635,30.0009895,1,1
13,8,[7 12 1 11 4 7 8 3],[0.00 1.16 0.60 0.99 2.25 1.41 1.09 2.93 ],NaN,NaN,N/A,5168,6805,0,0,30.0315602,30.0034323,1,1
14,8,[10 4 11 4 4 7 6 6],[1.65 2.94 2.01 0.58 1.07 1.25 2.60 1.61 ],NaN,NaN,N/A,5415,6703,0,0,30.0059078,30.0030922,1,1
15,7,[9 11 12 6 4 8 9],[0.50 2.07 1.98 0.68 1.77 1.30 0.80 ],3.85626864986465,NaN,N/A,3071,5202,648,0,14.6345537,30.0155626,0,1
16,9,[3 6 12 12 10 6 7 9 7],[1.16 0.62 2.53 2.90 0.13 0.82 2.03 1.27 2.82 ],1.54875255696368,NaN,N/A,298,5108,32,0,0.1887323,30.0012051,0,1
17,9,[7 2 10 5 2 1 7 7 9],[2.34 1.26 1.80 1.12 0.30 2.73 1.80 1.68 2.57 ],NaN,NaN,N/A,5537,8136,0,0,30.0149872,30.0271763,1,1
18,9,[11 10 9 5 3 8 4 6 5],[1.01 2.25 1.92 1.04 0.39 2.88 2.17 1.01 2.90 ],NaN,NaN,N/A,4836,5166,0,0,30.0017329,30.0080133,1,1
19,7,[7 5 12 11 3 11 9],[2.74 2.72 2.36 1.39 2.38 1.29 2.69 ],4.64173576321455,NaN,N/A,1523,6255,207,0,3.6832859,30.0020217,0,1
20,8,[5 6 5 11 9 8 3 3],[2.93 2.33 0.22 2.23 2.70 1.64 1.38 0.32 ],1.2930545834868,NaN,N/A,228,5889,31,0,0.1217573,30.0238906,0,1
